Time for Cap.1 (min);Scattering for Cap.1 ;Time for Cap.1 (min);Cumulant Radius for Cap.1 (nm);Time for Cap.2 (min);Scattering for Cap.2 ;Time for Cap.2 (min);Cumulant Radius for Cap.2 (nm);Time for Cap.3 (min);Scattering for Cap.3 ;Time for Cap.3 (min);Cumulant Radius for Cap.3 (nm);Time for Cap.4 (min);Scattering for Cap.4 ;Time for Cap.4 (min);Cumulant Radius for Cap.4 (nm);Time for Cap.5 (min);Scattering for Cap.5 ;Time for Cap.5 (min);Cumulant Radius for Cap.5 (nm);Time for Cap.6 (min);Scattering for Cap.6 ;Time for Cap.6 (min);Cumulant Radius for Cap.6 (nm);Time for Cap.7 (min);Scattering for Cap.7 ;Time for Cap.7 (min);Cumulant Radius for Cap.7 (nm)
671.0687;1170037;671.0687;3.9164;671.1521;775602.2;671.1521;4.037526;670.9688;393553.4;670.9688;2.783515;671.2521;4322153;681.2354;1872.665;670.8854;7.329908E+08;670.8854;37.98417;671.3354;4.55057E+08;671.3354;55.48819;670.7854;6.652245E+07;670.7854;78.3088
681.0521;1157113;681.0521;3.781745;681.1521;748471.6;681.1521;3.946364;680.9521;380471.7;680.9521;3.317433;681.2354;3823393;691.2354;1332.993;680.8688;7.202807E+08;680.8688;38.30364;681.3354;4.546241E+08;681.3354;55.24626;680.7687;8.195649E+07;680.7687;84.87699
691.0521;1474224;691.0521;5.061134;691.1521;702471;691.1521;3.623758;690.9521;417396.2;690.9521;5.913124;691.2354;2892886;701.2354;1358.584;690.8688;7.369703E+08;690.8688;38.39405;691.3354;4.54288E+08;691.3354;55.05924;690.7687;6.914917E+07;690.7687;79.21304
701.0521;1278187;701.0521;4.099569;701.1521;818159.5;701.1521;4.176067;700.9521;360395.9;700.9521;3.842587;701.2354;3398354;711.2354;1594.92;700.8688;7.295686E+08;700.8688;37.99679;701.3354;4.6813E+08;701.3354;56.58016;700.7687;6.356484E+07;700.7687;74.10822
711.0521;1167320;711.0521;4.036355;711.1521;837184.9;711.1521;4.637846;710.9521;315332.9;710.9521;3.750311;711.2354;2940967;721.2354;1107.168;710.8688;7.362655E+08;710.8688;38.13968;711.3354;4.621272E+08;711.3354;56.2074;710.7687;7.232646E+07;710.7687;82.01051
721.0521;1343520;721.0521;4.517547;721.1521;810224.6;721.1521;4.346208;720.9688;424063.6;720.9688;4.297959;721.2354;3745542;731.2354;1181.348;720.8688;7.451369E+08;720.8688;38.26249;721.3354;4.622646E+08;721.3354;54.07707;720.7854;7.644416E+07;720.7854;93.13339
731.0521;1230922;731.0521;4.216115;731.1521;676226.8;731.1521;3.459522;730.9688;574250.1;730.9688;4.739728;731.2354;2465898;741.2354;1306.399;730.8688;7.40002E+08;730.8688;38.26783;731.3354;4.750535E+08;731.3354;56.39328;730.7854;8.168779E+07;730.7854;89.98753
741.0521;1138062;741.0521;3.651589;741.1521;800289;741.1521;4.043807;740.9688;416413.6;740.9688;4.904174;741.2354;3444342;751.2521;1097.581;740.8688;7.409856E+08;740.8688;38.47477;741.3354;4.563653E+08;741.3354;55.67286;740.7854;8.550795E+07;740.7854;90.64433
751.0521;1161740;751.0521;3.813137;751.1521;713124.2;751.1521;3.858033;750.9688;312398.9;750.9688;1.287802;751.2521;4215820;761.2521;2663.158;750.8688;7.594242E+08;750.8688;38.47334;751.3354;4.764895E+08;751.3354;55.4976;750.7854;7.705748E+07;750.7854;88.43848
761.0521;1328625;761.0521;4.050604;761.1521;754421.8;761.1521;4.127698;760.9688;398724.8;760.9688;5.333567;761.2521;3892893;771.2521;1815.489;760.8688;7.460417E+08;760.8688;37.83383;761.3354;4.725864E+08;761.3354;57.74211;760.7854;8.225286E+07;760.7854;83.97813
